domain,code,description,integer_value,alt_description
STATE,ACT,Australian Capital Territory,7,
STATE,NSW,New South Wales,1,
STATE,NT,Northern Territory,8,
STATE,QLD,Queensland,3,
STATE,SA,South Australia,4,
STATE,TAS,Tasmania,6,
STATE,VIC,Victoria,2,
STATE,WA,Western Australia,5,
GENDER,MALE,Male,2,
GENDER,FEMALE,Female,1,
GENDER,NON_BINARY,Non-binary,3,
GENDER,RATHER_NOT_SAY,Rather not say,4,
INVITE_STATUS,PENDING,Pending,0,
INVITE_STATUS,INVITED,Invited,1,
INVITE_STATUS,ACCEPTED,Accepted,2,
INVITE_STATUS,DECLINED,Declined,3,
TOKEN,EXPIRY,7 Days,7
SCHOOL_GRADE,GRADE_0,Prep,0,
SCHOOL_GRADE,GRADE_1,Grade 1,1,
SCHOOL_GRADE,GRADE_2,Grade 2,2,
SCHOOL_GRADE,GRADE_3,Grade 3,3,
SCHOOL_GRADE,GRADE_4,Grade 4,4,
SCHOOL_GRADE,GRADE_5,Grade 5,5,
SCHOOL_GRADE,GRADE_6,Grade 6,6,
SCHOOL_GRADE,GRADE_7,Grade 7,7,
SCHOOL_GRADE,GRADE_8,Grade 8,8,
SCHOOL_GRADE,GRADE_9,Grade 9,9,
SCHOOL_GRADE,GRADE_10,Grade 10,10,
SCHOOL_GRADE,GRADE_11,Grade 11,11,
SCHOOL_GRADE,GRADE_12,Grade 12,12,
MODULE_LEVEL,LEVEL_1,Level 1,1,
MODULE_LEVEL,LEVEL_2,Level 2,2,
MODULE_LEVEL,LEVEL_3,Level 3,3,
MODULE_LEVEL,SKILLS,English Skills,4,
MODULE_LEVEL,SENIOR_SKILLS,Senior Skills,5,
MODULE_LEVEL,WORKS,English Works,6,
DROPDOWN_TYPE,SPEECH_PART,Parts of Speech,1,
DROPDOWN_TYPE,NOUN_TYPE,Types of Nouns,2,
NOUN_TYPE,ABSTRACT,Abstract,1,
NOUN_TYPE,COLLECTIVE,Collective,2,
NOUN_TYPE,COMMON,Common,3,
NOUN_TYPE,PROPER,Proper,4,
SPEECH_PART,NOUN,Noun,1,
SPEECH_PART,VERB,Verb,2,
SPEECH_PART,ADJECTIVE,Adjective,3,
SPEECH_PART,ADVERB,Adverb,4,
SPEECH_PART,CONJUNCTION,Conjunction,5,
SPEECH_PART,PREPOSITION,Preposition,6,
SPEECH_PART,PRONOUN,Pronoun,7,
NOUN_TYPE,INTERJECTION,Interjection,8,
